Question	Option A	Option B	Option C	Option D	GT
What insight can the understanding of collected points provide to an adversary, according to the text?	Which exploits to use and which malware to deploy	Which processes and values to keep track of over the course of an operation	Which system calls to monitor for suspicious activity	Which network connections to compromise	B
Adversaries may modify applications installed on a device to establish persistent access to a victim. What type of vulnerability, known as Janus, can an adversary take advantage of to inject malicious code into an Android application?	Malicious encryption weakness	APK decryption flaw	Signing key compromise	APK file format vulnerability	D
An adversary may rebuild an application to include malicious modifications by what method?	Backdooring the application	Deconstructing the application, merging with malicious code, and reassembling	Compiling the application with malicious code	Patching the application	B
What is an example of how adversaries may conceal modifications to application executables?	Altering modifications to appear as a new software installation	Exploiting vulnerabilities to make the malicious application run as a system process	Including malicious code in application updates	Modifying the application's metadata	B
What can an adversary achieve by adding arbitrary bytes to valid application files without affecting the file's signature?	Preventing the user from installing the malicious application	Bypassing the system's security checks	Seamlessly injecting code into genuine executables without the user's knowledge	Encrypting the malicious code	C
What type of attack may be carried out by exploiting vulnerabilities that allow the malicious application to run inside a system application?	Persistence Attack (T1542)	Privilege escalation	Code injection	DLL Sideloading	A
What is the primary purpose of firmware updates on modern assets?	To prolong device lifespan	To enable remote patching and upgrades	To enhance device performance	To reduce device noise levels	B
Which of the following is a potential vulnerability in device firmware updates?	Firmware updates are only possible locally	Firmware updates can be performed over the network	Malicious firmware updates can provide root access to devices	Firmware updates are only possible through specialized reprogramming equipment	C
What is the outcome of malicious modification of device firmware, according to the text?	It causes device bricking	It provides an adversary with read-only access	It provides an adversary with root access to a device	It has no effect on device functionality	C
According to the text, where may device firmware updates be performed?	Only locally through software update packages	Only remotely over the network	Both locally and remotely	Only through specialized reprogramming equipment	C
